comparison_key,comparison,role,profile,profile_label,n_scope,pairs,wins,losses,ties,wlt,mean_relative_pct,median_relative_pct,status,boundary
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,cnot_only,CNOT-only,n=3-6,177,0,168,9,0/168/9,62.056689,63.157895,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,cnot_depth,CNOT-depth,n=3-6,177,156,21,0,156/21/0,-14.921374,-17.495158,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,balanced,Balanced,n=3-6,177,172,5,0,172/5/0,-27.275727,-30.495050,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,ancilla_tight,Ancilla-tight,n=3-6,177,168,9,0,168/9/0,-22.456718,-24.499770,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,paper,Paper score,n=3-6,177,177,0,0,177/0/0,-65.578449,-65.250300,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,t_only,T-only,n=3-6,177,177,0,0,177/0/0,-55.677700,-55.000000,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,cnot_only,CNOT-only,n=3-6,177,175,2,0,175/2/0,-40.263107,-40.000000,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,cnot_depth,CNOT-depth,n=3-6,177,177,0,0,177/0/0,-60.936833,-60.585101,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,balanced,Balanced,n=3-6,177,177,0,0,177/0/0,-62.825721,-62.413063,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
abc_xag,Pareto vs ABC-XAG,external logic synthesis,ancilla_tight,Ancilla-tight,n=3-6,177,177,0,0,177/0/0,-77.515847,-78.036648,pass,ABC-XAG is a mature logic-synthesis probe under the same logical cost projection.
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,paper,Paper score,"n=3-6,14-16,18",309,309,0,0,309/0/0,-84.269456,-81.383436,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,t_only,T-only,"n=3-6,14-16,18",309,306,0,3,306/0/3,-84.215793,-81.818182,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,cnot_only,CNOT-only,"n=3-6,14-16,18",309,309,0,0,309/0/0,-82.135923,-78.632479,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,cnot_depth,CNOT-depth,"n=3-6,14-16,18",309,309,0,0,309/0/0,-83.234223,-79.843958,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,balanced,Balanced,"n=3-6,14-16,18",309,309,0,0,309/0/0,-83.951032,-80.966452,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_best_k,Pareto vs ROS LUT best-K,ROS-style LUT proxy,ancilla_tight,Ancilla-tight,"n=3-6,14-16,18",309,309,0,0,309/0/0,-83.094193,-80.522759,pass,"This is a verified LUT proxy, not the official ROS SAT garbage optimizer."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,paper,Paper score,"n=3-6,14-16,18",309,309,0,0,309/0/0,-87.931586,-92.771812,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,t_only,T-only,"n=3-6,14-16,18",309,306,0,3,306/0/3,-87.952622,-93.442623,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,cnot_only,CNOT-only,"n=3-6,14-16,18",309,309,0,0,309/0/0,-86.300507,-92.522062,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,cnot_depth,CNOT-depth,"n=3-6,14-16,18",309,309,0,0,309/0/0,-87.039269,-92.502149,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,balanced,Balanced,"n=3-6,14-16,18",309,309,0,0,309/0/0,-87.678125,-92.725204,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
ros_minline,Pareto vs ROS min-line budget,ROS-style garbage-budget proxy,ancilla_tight,Ancilla-tight,"n=3-6,14-16,18",309,309,0,0,309/0/0,-86.430430,-92.350348,pass,"The min-line budget is a reversible-pebbling proxy over LUT DAGs, not full ROS reproduction."
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,paper,Paper score,n=3-6,177,173,0,4,173/0/4,-67.278492,-70.184631,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,t_only,T-only,n=3-6,177,173,0,4,173/0/4,-72.588662,-74.603175,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,cnot_only,CNOT-only,n=3-6,177,107,63,7,107/63/7,-9.319044,-9.302326,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,cnot_depth,CNOT-depth,n=3-6,177,173,0,4,173/0/4,-56.529787,-58.641888,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,balanced,Balanced,n=3-6,177,173,0,4,173/0/4,-64.564794,-67.133030,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
revkit_cli,Pareto vs RevKit CLI,exact reversible synthesis probe,ancilla_tight,Ancilla-tight,n=3-6,177,173,0,4,173/0/4,-58.538445,-61.128104,pass,RevKit exact-oracle rows test a real reversible toolchain but not routed Clifford+T mapping.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,paper,Paper score,n=3-6,177,166,11,0,166/11/0,-31.499031,-32.431524,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,t_only,T-only,n=3-6,177,59,70,48,59/70/48,5.718877,0.000000,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,cnot_only,CNOT-only,n=3-6,177,37,139,1,37/139/1,18.395613,16.560510,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,cnot_depth,CNOT-depth,n=3-6,177,163,14,0,163/14/0,-26.309883,-27.193395,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,balanced,Balanced,n=3-6,177,163,13,1,163/13/1,-26.748162,-27.309815,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
mockturtle_xag,Pareto vs mockturtle XAG,external logic synthesis,ancilla_tight,Ancilla-tight,n=3-6,177,177,0,0,177/0/0,-59.805686,-61.625106,pass,mockturtle is a logic-network probe under the paper's logical resource projection.
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,paper,Paper score,n=3-6,177,177,0,0,177/0/0,-47.940823,-48.917699,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,t_only,T-only,n=3-6,177,169,0,8,169/0/8,-36.625980,-37.500000,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,cnot_only,CNOT-only,n=3-6,177,4,173,0,4/173/0,195.179425,181.250000,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,cnot_depth,CNOT-depth,n=3-6,177,174,3,0,174/3/0,-34.264182,-34.991568,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,balanced,Balanced,n=3-6,177,177,0,0,177/0/0,-41.846963,-42.591732,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
caterpillar_api,Pareto vs Caterpillar API,external logic synthesis,ancilla_tight,Ancilla-tight,n=3-6,177,177,0,0,177/0/0,-64.837320,-67.914076,pass,"Caterpillar API rows are verified ANF-XAG implementation-family probes, not full ROS or hardware mapping."
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,paper,Paper score,n=3-6,177,177,0,0,177/0/0,-62.340376,-62.354590,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,t_only,T-only,n=3-6,177,177,0,0,177/0/0,-52.937332,-52.380952,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,cnot_only,CNOT-only,n=3-6,177,167,9,1,167/9/1,-35.027365,-34.862385,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,cnot_depth,CNOT-depth,n=3-6,177,177,0,0,177/0/0,-56.993172,-57.277224,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,balanced,Balanced,n=3-6,177,177,0,0,177/0/0,-59.343533,-59.262240,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
cirkit_aig_mc,Pareto vs CirKit AIG/MC,external logic synthesis,ancilla_tight,Ancilla-tight,n=3-6,177,177,0,0,177/0/0,-74.686732,-75.267899,pass,CirKit AIG/multiplicative-complexity rows are projected to the same logical resource fields.
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,paper,Paper score,n=14,64,60,0,4,60/0/4,-6.305997,-4.684862,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,t_only,T-only,n=14,64,60,0,4,60/0/4,-7.653914,-5.004471,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,cnot_only,CNOT-only,n=14,64,60,0,4,60/0/4,-5.478151,-4.800611,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,cnot_depth,CNOT-depth,n=14,64,60,0,4,60/0/4,-5.351221,-4.625856,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,balanced,Balanced,n=14,64,60,0,4,60/0/4,-6.129127,-4.709190,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n14_root_beam,n=14 Pareto vs root beam,high-dimensional internal counterpoint,ancilla_tight,Ancilla-tight,n=14,64,56,4,4,56/4/4,-3.279316,-3.045791,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,paper,Paper score,n=16,24,23,0,1,23/0/1,-4.360506,-3.364968,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,t_only,T-only,n=16,24,23,0,1,23/0/1,-4.701516,-3.581291,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,cnot_only,CNOT-only,n=16,24,23,0,1,23/0/1,-4.415410,-3.678018,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,cnot_depth,CNOT-depth,n=16,24,23,0,1,23/0/1,-4.278654,-3.450760,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,balanced,Balanced,n=16,24,23,0,1,23/0/1,-4.374635,-3.399771,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
n16_root_beam,n=16 Resource vs root beam,high-dimensional internal counterpoint,ancilla_tight,Ancilla-tight,n=16,24,23,0,1,23/0/1,-3.433434,-3.042677,pass,"Symbolic high-dimensional evidence, not exhaustive truth-table benchmarking."
