dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,abc_blif_correct,time_s,abc_time_s,mockturtle_time_s,klut_gates,klut_depth,xag_gates,xag_and,xag_xor,xag_depth,xag_other,mockturtle_commit,abc_script,source_manifest,skipped,error,abc_binary,klut_pis,klut_pos,mockturtle_tool,xag_pis,xag_pos
traditional,1,majority_n3,majority_n3,3,3,external_mockturtle_xag_k4,4,12,21,19,9,4,4,8,21.215,True,True,0.08375430107116699,0.035140275955200195,0.04767203330993652,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,3,1
traditional,28,truth_n4_11,truth_n4_11,4,9,external_mockturtle_xag_k4,4,12,23,25,11,5,5,10,23.405,True,True,0.07929015159606934,0.0327608585357666,0.045783042907714844,1,1,5,3,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,29,truth_n4_12,truth_n4_12,4,11,external_mockturtle_xag_k4,4,16,29,25,13,6,6,11,29.665,True,True,0.07918691635131836,0.03192496299743652,0.04643416404724121,1,1,6,4,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,30,truth_n4_13,truth_n4_13,4,9,external_mockturtle_xag_k4,4,16,29,25,13,6,6,11,29.665,True,True,0.07914423942565918,0.03182196617126465,0.046720027923583984,1,1,6,4,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,31,truth_n4_14,truth_n4_14,4,10,external_mockturtle_xag_k4,4,12,25,25,13,6,6,11,25.505000000000003,True,True,0.0783541202545166,0.031202077865600586,0.046566009521484375,1,1,6,3,3,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,32,truth_n4_15,truth_n4_15,4,7,external_mockturtle_xag_k4,4,16,31,37,15,7,7,12,31.944999999999997,True,True,0.08034396171569824,0.03272390365600586,0.04683113098144531,1,1,7,4,3,6,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,33,truth_n4_16,truth_n4_16,4,8,external_mockturtle_xag_k4,4,12,23,31,11,5,5,10,23.494999999999997,True,True,0.08043408393859863,0.03263735771179199,0.04702901840209961,1,1,5,3,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,34,truth_n4_17,truth_n4_17,4,4,external_mockturtle_xag_k4,4,12,21,25,9,4,4,9,21.305,True,True,0.08054208755493164,0.03307795524597168,0.046842336654663086,1,1,4,3,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,35,truth_n4_18,truth_n4_18,4,6,external_mockturtle_xag_k4,4,12,23,19,11,5,5,10,23.314999999999998,True,True,0.08041501045227051,0.03280520439147949,0.04680824279785156,1,1,5,3,2,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,36,truth_n4_19,truth_n4_19,4,8,external_mockturtle_xag_k4,4,12,23,25,11,5,5,10,23.405,True,True,0.08201122283935547,0.03401494026184082,0.047257184982299805,1,1,5,3,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,19,truth_n4_2,truth_n4_2,4,12,external_mockturtle_xag_k4,4,16,29,31,13,6,6,11,29.755,True,True,0.08013391494750977,0.0324549674987793,0.0470128059387207,1,1,6,4,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,37,truth_n4_20,truth_n4_20,4,6,external_mockturtle_xag_k4,4,16,27,31,11,5,5,10,27.654999999999998,True,True,0.08182787895202637,0.034380197525024414,0.04683089256286621,1,1,5,4,1,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,38,truth_n4_21,truth_n4_21,4,6,external_mockturtle_xag_k4,4,16,29,31,13,6,6,11,29.755,True,True,0.08110904693603516,0.033915042877197266,0.04650092124938965,1,1,6,4,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,39,truth_n4_22,truth_n4_22,4,9,external_mockturtle_xag_k4,4,12,25,31,13,6,6,11,25.595,True,True,0.08150482177734375,0.03358197212219238,0.04717206954956055,1,1,6,3,3,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,40,truth_n4_23,truth_n4_23,4,7,external_mockturtle_xag_k4,4,12,25,25,13,6,6,11,25.505000000000003,True,True,0.07950401306152344,0.03323698043823242,0.045588016510009766,1,1,6,3,3,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,41,truth_n4_24,truth_n4_24,4,12,external_mockturtle_xag_k4,4,16,29,19,13,6,6,11,29.575,True,True,0.07912015914916992,0.03298521041870117,0.045562744140625,1,1,6,4,2,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,42,truth_n4_25,truth_n4_25,4,7,external_mockturtle_xag_k4,4,12,21,19,9,4,4,9,21.215,True,True,0.07948994636535645,0.0326080322265625,0.04624176025390625,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,43,truth_n4_26,truth_n4_26,4,8,external_mockturtle_xag_k4,4,20,33,25,13,6,6,11,33.825,True,True,0.07880496978759766,0.03202080726623535,0.0461578369140625,1,1,6,5,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,44,truth_n4_27,truth_n4_27,4,9,external_mockturtle_xag_k4,4,12,23,25,11,5,5,10,23.405,True,True,0.0802760124206543,0.03276991844177246,0.04686284065246582,1,1,5,3,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,45,truth_n4_28,truth_n4_28,4,9,external_mockturtle_xag_k4,4,16,29,25,13,6,6,11,29.665,True,True,0.07964897155761719,0.03275799751281738,0.04622387886047363,1,1,6,4,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,46,truth_n4_29,truth_n4_29,4,7,external_mockturtle_xag_k4,4,20,33,31,13,6,6,11,33.915,True,True,0.08075904846191406,0.03277587890625,0.04743695259094238,1,1,6,5,1,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,20,truth_n4_3,truth_n4_3,4,11,external_mockturtle_xag_k4,4,12,27,37,15,7,7,12,27.785,True,True,0.07988405227661133,0.03412985801696777,0.045198917388916016,1,1,7,3,4,6,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,47,truth_n4_30,truth_n4_30,4,9,external_mockturtle_xag_k4,4,12,23,19,11,5,5,10,23.314999999999998,True,True,0.08000421524047852,0.032598018646240234,0.046874046325683594,1,1,5,3,2,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,48,truth_n4_31,truth_n4_31,4,10,external_mockturtle_xag_k4,4,16,29,25,13,6,6,11,29.665,True,True,0.0797433853149414,0.03254890441894531,0.04656696319580078,1,1,6,4,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,49,truth_n4_32,truth_n4_32,4,8,external_mockturtle_xag_k4,4,16,31,37,15,7,7,12,31.944999999999997,True,True,0.07852625846862793,0.03224611282348633,0.04564499855041504,1,1,7,4,3,6,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,50,truth_n4_33,truth_n4_33,4,6,external_mockturtle_xag_k4,4,8,17,25,9,4,4,9,17.145,True,True,0.07971692085266113,0.033204078674316406,0.045903921127319336,1,1,4,2,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,51,truth_n4_34,truth_n4_34,4,5,external_mockturtle_xag_k4,4,12,23,31,11,5,5,10,23.494999999999997,True,True,0.07929420471191406,0.0330660343170166,0.0455632209777832,1,1,5,3,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,52,truth_n4_35,truth_n4_35,4,6,external_mockturtle_xag_k4,4,12,21,19,9,4,4,9,21.215,True,True,0.08044290542602539,0.032552242279052734,0.047059059143066406,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,53,truth_n4_36,truth_n4_36,4,9,external_mockturtle_xag_k4,4,12,23,31,11,5,5,10,23.494999999999997,True,True,0.07975983619689941,0.033385276794433594,0.04566597938537598,1,1,5,3,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,54,truth_n4_37,truth_n4_37,4,9,external_mockturtle_xag_k4,4,12,21,19,9,4,4,9,21.215,True,True,0.07950520515441895,0.032419681549072266,0.04635810852050781,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,55,truth_n4_38,truth_n4_38,4,8,external_mockturtle_xag_k4,4,12,21,19,9,4,4,9,21.215,True,True,0.0791013240814209,0.03258204460144043,0.045983076095581055,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,56,truth_n4_39,truth_n4_39,4,11,external_mockturtle_xag_k4,4,12,23,25,11,5,5,10,23.405,True,True,0.07940816879272461,0.03241610527038574,0.0464017391204834,1,1,5,3,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,21,truth_n4_4,truth_n4_4,4,8,external_mockturtle_xag_k4,4,12,25,31,13,6,6,11,25.595,True,True,0.07954597473144531,0.032570838928222656,0.04634213447570801,1,1,6,3,3,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,57,truth_n4_40,truth_n4_40,4,7,external_mockturtle_xag_k4,4,16,27,25,11,5,5,10,27.564999999999998,True,True,0.07912421226501465,0.032388925552368164,0.04604077339172363,1,1,5,4,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,58,truth_n4_41,truth_n4_41,4,6,external_mockturtle_xag_k4,4,12,23,25,11,5,5,10,23.405,True,True,0.07935810089111328,0.03230881690979004,0.04640507698059082,1,1,5,3,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,59,truth_n4_42,truth_n4_42,4,11,external_mockturtle_xag_k4,4,16,27,25,11,5,5,10,27.564999999999998,True,True,0.08053207397460938,0.034470319747924805,0.045493125915527344,1,1,5,4,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,60,truth_n4_43,truth_n4_43,4,6,external_mockturtle_xag_k4,4,16,27,31,11,5,5,10,27.654999999999998,True,True,0.08123207092285156,0.03425717353820801,0.04641604423522949,1,1,5,4,1,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,61,truth_n4_44,truth_n4_44,4,10,external_mockturtle_xag_k4,4,16,29,25,13,6,6,11,29.665,True,True,0.0808420181274414,0.03342890739440918,0.04668307304382324,1,1,6,4,2,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,62,truth_n4_45,truth_n4_45,4,6,external_mockturtle_xag_k4,4,12,23,19,11,5,5,10,23.314999999999998,True,True,0.08078384399414062,0.033659934997558594,0.04635906219482422,1,1,5,3,2,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,63,truth_n4_46,truth_n4_46,4,10,external_mockturtle_xag_k4,4,16,27,25,11,5,5,10,27.564999999999998,True,True,0.07980895042419434,0.03263401985168457,0.046643972396850586,1,1,5,4,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,64,truth_n4_47,truth_n4_47,4,10,external_mockturtle_xag_k4,4,20,33,25,13,6,6,11,33.825,True,True,0.08038878440856934,0.033985137939453125,0.045693159103393555,1,1,6,5,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,65,truth_n4_48,truth_n4_48,4,13,external_mockturtle_xag_k4,4,12,21,25,9,4,4,9,21.305,True,True,0.08060717582702637,0.03377699851989746,0.046179771423339844,1,1,4,3,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
