dataset,name,n,method,selection_objective,selected_k,T,CNOT,depth,gates,peak_ancilla,score,line_score,correct,candidate_ks,abc_binary,abc_lut_max_fanin,abc_lut_nodes,abc_script,anf_terms,error,explicit_ancilla,index,n_qubits,preset_name,skipped,source_manifest,time_s
n14,anf_n14_13,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,299016,493729,496117,197101,2931,334039.925,334039.925,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2928,strash; if -K 5,766,,2928,13,2943,anf_n14_13,,benchmark_exports/highdim_resource_external_seed42,0.32934999465942383
n14,anf_n14_13,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,216536,368351,371601,155065,4353,247100.705,247100.705,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4351,strash; if -K 4,766,,4351,13,4366,anf_n14_13,,benchmark_exports/highdim_resource_external_seed42,0.28496789932250977
n14,anf_n14_13,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,150192,267193,271095,120903,6690,179535.175,233055.175,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6689,strash; if -K 3,766,,6689,13,6704,anf_n14_13,,benchmark_exports/highdim_resource_external_seed42,0.2765040397644043
n14,anf_n14_13,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,150192,267193,271095,120903,6690,179535.175,333405.175,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6689,strash; if -K 3,766,,6689,13,6704,anf_n14_13,,benchmark_exports/highdim_resource_external_seed42,0.2765040397644043
n14,anf_n14_14,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,2088,3599,3637,1549,35,2372.0049999999997,2372.0049999999997,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,32,strash; if -K 5,14,,32,14,47,anf_n14_14,,benchmark_exports/highdim_resource_external_seed42,0.10211682319641113
n14,anf_n14_14,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,1776,3163,3209,1433,50,2064.9849999999997,2064.9849999999997,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,48,strash; if -K 4,14,,48,14,63,anf_n14_14,,benchmark_exports/highdim_resource_external_seed42,0.11335611343383789
n14,anf_n14_14,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,4,1776,3163,3209,1433,50,2064.9849999999997,2464.9849999999997,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,48,strash; if -K 4,14,,48,14,63,anf_n14_14,,benchmark_exports/highdim_resource_external_seed42,0.11335611343383789
n14,anf_n14_14,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,5,2088,3599,3637,1549,35,2372.0049999999997,3177.0049999999997,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,32,strash; if -K 5,14,,32,14,47,anf_n14_14,,benchmark_exports/highdim_resource_external_seed42,0.10211682319641113
n14,anf_n14_15,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,4,16,29,29,13,1,19.724999999999998,19.724999999999998,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,strash; if -K 4,2,,1,15,16,anf_n14_15,,benchmark_exports/highdim_resource_external_seed42,0.09485411643981934
n14,anf_n14_15,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,16,29,29,13,1,19.724999999999998,19.724999999999998,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,strash; if -K 4,2,,1,15,16,anf_n14_15,,benchmark_exports/highdim_resource_external_seed42,0.09485411643981934
n14,anf_n14_15,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,4,16,29,29,13,1,19.724999999999998,27.724999999999998,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,strash; if -K 4,2,,1,15,16,anf_n14_15,,benchmark_exports/highdim_resource_external_seed42,0.09485411643981934
n14,anf_n14_15,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,4,16,29,29,13,1,19.724999999999998,42.724999999999994,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,strash; if -K 4,2,,1,15,16,anf_n14_15,,benchmark_exports/highdim_resource_external_seed42,0.09485411643981934
n14,anf_n14_16,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,74384,122975,123533,49149,736,83119.485,83119.485,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,733,strash; if -K 5,30,,733,16,748,anf_n14_16,,benchmark_exports/highdim_resource_external_seed42,0.146071195602417
n14,anf_n14_16,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,56608,96113,96891,40283,1085,64478.715,64478.715,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1083,strash; if -K 4,30,,1083,16,1098,anf_n14_16,,benchmark_exports/highdim_resource_external_seed42,0.13724780082702637
n14,anf_n14_16,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,39856,71153,72157,32301,1736,47579.48500000001,61467.48500000001,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1735,strash; if -K 3,30,,1735,16,1750,anf_n14_16,,benchmark_exports/highdim_resource_external_seed42,0.13576602935791016
n14,anf_n14_16,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,39856,71153,72157,32301,1736,47579.48500000001,87507.48500000002,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1735,strash; if -K 3,30,,1735,16,1750,anf_n14_16,,benchmark_exports/highdim_resource_external_seed42,0.13576602935791016
n14,anf_n14_17,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,209648,345231,346869,137221,2086,234204.485,234204.485,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2083,strash; if -K 5,89,,2083,17,2098,anf_n14_17,,benchmark_exports/highdim_resource_external_seed42,0.24023818969726562
n14,anf_n14_17,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,154568,261917,264025,109457,3068,176235.625,176235.625,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,3066,strash; if -K 4,89,,3066,17,3081,anf_n14_17,,benchmark_exports/highdim_resource_external_seed42,0.21259379386901855
n14,anf_n14_17,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,107696,191371,194087,86391,4722,128570.055,166346.055,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,4721,strash; if -K 3,89,,4721,17,4736,anf_n14_17,,benchmark_exports/highdim_resource_external_seed42,0.20266199111938477
n14,anf_n14_17,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,107696,191371,194087,86391,4722,128570.055,237176.055,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,4721,strash; if -K 3,89,,4721,17,4736,anf_n14_17,,benchmark_exports/highdim_resource_external_seed42,0.20266199111938477
n14,anf_n14_18,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,304568,502651,505143,200575,2947,340150.935,340150.935,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2944,strash; if -K 5,790,,2944,18,2959,anf_n14_18,,benchmark_exports/highdim_resource_external_seed42,0.32399797439575195
n14,anf_n14_18,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,217208,369583,372889,155681,4353,247847.465,247847.465,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4351,strash; if -K 4,790,,4351,18,4366,anf_n14_18,,benchmark_exports/highdim_resource_external_seed42,0.27901792526245117
n14,anf_n14_18,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,152912,272213,276091,123179,6766,182705.675,236833.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6765,strash; if -K 3,790,,6765,18,6780,anf_n14_18,,benchmark_exports/highdim_resource_external_seed42,0.2711927890777588
n14,anf_n14_18,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,152912,272213,276091,123179,6766,182705.675,338323.675,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6765,strash; if -K 3,790,,6765,18,6780,anf_n14_18,,benchmark_exports/highdim_resource_external_seed42,0.2711927890777588
n14,anf_n14_19,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,178856,294603,296027,117171,1799,199850.235,199850.235,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,1796,strash; if -K 5,56,,1796,19,1811,anf_n14_19,,benchmark_exports/highdim_resource_external_seed42,0.22258687019348145
n14,anf_n14_19,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,130208,220637,222455,92247,2618,148528.77500000002,148528.77500000002,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,2616,strash; if -K 4,56,,2616,19,2631,anf_n14_19,,benchmark_exports/highdim_resource_external_seed42,0.19633793830871582
n14,anf_n14_19,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,92040,163381,165611,73571,4029,109853.115,142085.115,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,4028,strash; if -K 3,56,,4028,19,4043,anf_n14_19,,benchmark_exports/highdim_resource_external_seed42,0.18665099143981934
n14,anf_n14_19,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,92040,163381,165611,73571,4029,109853.115,202520.115,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,4028,strash; if -K 3,56,,4028,19,4043,anf_n14_19,,benchmark_exports/highdim_resource_external_seed42,0.18665099143981934
n14,anf_n14_2,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,311664,514531,516973,205309,2932,347916.925,347916.925,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2929,strash; if -K 5,1010,,2929,2,2944,anf_n14_2,,benchmark_exports/highdim_resource_external_seed42,0.5975239276885986
n14,anf_n14_2,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,221592,376967,380285,158693,4339,252639.88499999998,252639.88499999998,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4337,strash; if -K 4,1010,,4337,2,4352,anf_n14_2,,benchmark_exports/highdim_resource_external_seed42,0.9285340309143066
n14,anf_n14_2,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,153544,273301,277189,123645,6747,183364.325,237340.325,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6746,strash; if -K 3,1010,,6746,2,6761,anf_n14_2,,benchmark_exports/highdim_resource_external_seed42,0.9147758483886719
n14,anf_n14_2,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,153544,273301,277189,123645,6747,183364.325,338545.325,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6746,strash; if -K 3,1010,,6746,2,6761,anf_n14_2,,benchmark_exports/highdim_resource_external_seed42,0.9147758483886719
n14,anf_n14_20,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,307000,506695,509161,202161,2983,342892.82499999995,342892.82499999995,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2980,strash; if -K 5,1018,,2980,20,2995,anf_n14_20,,benchmark_exports/highdim_resource_external_seed42,0.47945284843444824
n14,anf_n14_20,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,220320,374541,377723,157403,4346,251233.515,251233.515,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4344,strash; if -K 4,1018,,4344,20,4359,anf_n14_20,,benchmark_exports/highdim_resource_external_seed42,0.4305453300476074
n14,anf_n14_20,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,151832,269999,273721,121889,6712,181380.665,235076.665,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6711,strash; if -K 3,1018,,6711,20,6726,anf_n14_20,,benchmark_exports/highdim_resource_external_seed42,0.4099440574645996
n14,anf_n14_20,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,151832,269999,273721,121889,6712,181380.665,335756.66500000004,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6711,strash; if -K 3,1018,,6711,20,6726,anf_n14_20,,benchmark_exports/highdim_resource_external_seed42,0.4099440574645996
n14,anf_n14_21,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,896,1553,1571,675,17,1022.435,1022.435,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,15,strash; if -K 5,10,,15,21,30,anf_n14_21,,benchmark_exports/highdim_resource_external_seed42,0.1018838882446289
n14,anf_n14_21,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,744,1361,1379,635,35,895.475,895.475,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,34,strash; if -K 4,10,,34,21,49,anf_n14_21,,benchmark_exports/highdim_resource_external_seed42,0.09824109077453613
n14,anf_n14_21,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,5,896,1553,1571,675,17,1022.435,1158.435,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,15,strash; if -K 5,10,,15,21,30,anf_n14_21,,benchmark_exports/highdim_resource_external_seed42,0.1018838882446289
n14,anf_n14_21,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,5,896,1553,1571,675,17,1022.435,1413.435,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,15,strash; if -K 5,10,,15,21,30,anf_n14_21,,benchmark_exports/highdim_resource_external_seed42,0.1018838882446289
n14,anf_n14_22,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,279592,460593,462767,183175,2760,312308.975,312308.975,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,2757,strash; if -K 5,321,,2757,22,2772,anf_n14_22,,benchmark_exports/highdim_resource_external_seed42,0.5259888172149658
n14,anf_n14_22,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,200888,341205,344207,143319,4053,229238.49500000002,229238.49500000002,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,4051,strash; if -K 4,321,,4051,22,4066,anf_n14_22,,benchmark_exports/highdim_resource_external_seed42,0.4854850769042969
n14,anf_n14_22,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,139640,248259,251787,112147,6197,166862.63499999998,216438.63499999998,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6196,strash; if -K 3,321,,6196,22,6211,anf_n14_22,,benchmark_exports/highdim_resource_external_seed42,0.47219395637512207
n14,anf_n14_22,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,139640,248259,251787,112147,6197,166862.63499999998,309393.635,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,6196,strash; if -K 3,321,,6196,22,6211,anf_n14_22,,benchmark_exports/highdim_resource_external_seed42,0.47219395637512207
n14,anf_n14_23,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,130976,216941,218045,87069,1305,146405.005,146405.005,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,1302,strash; if -K 5,53,,1302,23,1317,anf_n14_23,,benchmark_exports/highdim_resource_external_seed42,0.28971433639526367
n14,anf_n14_23,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,98528,167845,169291,70763,1939,112366.79500000001,112366.79500000001,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1937,strash; if -K 4,53,,1937,23,1952,anf_n14_23,,benchmark_exports/highdim_resource_external_seed42,0.4054100513458252
n14,anf_n14_23,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,68344,121915,123785,55441,2999,81629.785,105621.785,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,2998,strash; if -K 3,53,,2998,23,3013,anf_n14_23,,benchmark_exports/highdim_resource_external_seed42,0.32532572746276855
n14,anf_n14_23,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,68344,121915,123785,55441,2999,81629.785,150606.785,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,2998,strash; if -K 3,53,,2998,23,3013,anf_n14_23,,benchmark_exports/highdim_resource_external_seed42,0.32532572746276855
n14,anf_n14_24,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,115400,189355,190111,74711,1161,128894.97499999999,128894.97499999999,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,1158,strash; if -K 5,45,,1158,24,1173,anf_n14_24,,benchmark_exports/highdim_resource_external_seed42,0.25760316848754883
n14,anf_n14_24,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,4,79696,134545,135573,55877,1610,90890.16500000001,90890.16500000001,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1608,strash; if -K 4,45,,1608,24,1623,anf_n14_24,,benchmark_exports/highdim_resource_external_seed42,0.2269887924194336
n14,anf_n14_24,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,3,53848,95025,96157,42309,2372,64258.445,83234.445,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,2371,strash; if -K 3,45,,2371,24,2386,anf_n14_24,,benchmark_exports/highdim_resource_external_seed42,0.22427892684936523
n14,anf_n14_24,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,3,53848,95025,96157,42309,2372,64258.445,118814.445,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,2371,strash; if -K 3,45,,2371,24,2386,anf_n14_24,,benchmark_exports/highdim_resource_external_seed42,0.22427892684936523
n14,anf_n14_25,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,80,147,151,71,4,96.85499999999999,96.85499999999999,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,3,strash; if -K 5,6,,3,25,18,anf_n14_25,,benchmark_exports/highdim_resource_external_seed42,0.10729289054870605
n14,anf_n14_25,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,5,80,147,151,71,4,96.85499999999999,96.85499999999999,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,3,strash; if -K 5,6,,3,25,18,anf_n14_25,,benchmark_exports/highdim_resource_external_seed42,0.10729289054870605
n14,anf_n14_25,14,external_ros_lut_line_w10,score_with_ancilla_weight_10,5,80,147,151,71,4,96.85499999999999,128.855,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,3,strash; if -K 5,6,,3,25,18,anf_n14_25,,benchmark_exports/highdim_resource_external_seed42,0.10729289054870605
n14,anf_n14_25,14,external_ros_lut_line_w25,score_with_ancilla_weight_25,5,80,147,151,71,4,96.85499999999999,188.855,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,3,strash; if -K 5,6,,3,25,18,anf_n14_25,,benchmark_exports/highdim_resource_external_seed42,0.10729289054870605
n14,anf_n14_26,14,external_ros_lut_min_ancilla,min_peak_ancilla_then_score,5,88,161,165,77,5,107.68499999999999,107.68499999999999,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,4,strash; if -K 5,6,,4,26,19,anf_n14_26,,benchmark_exports/highdim_resource_external_seed42,0.11100482940673828
n14,anf_n14_26,14,external_ros_lut_k4_line_cap,best_score_with_peak_ancilla_le_k4,5,88,161,165,77,5,107.68499999999999,107.68499999999999,True,"3,4,5",/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,5,4,strash; if -K 5,6,,4,26,19,anf_n14_26,,benchmark_exports/highdim_resource_external_seed42,0.11100482940673828
