dataset,name,n,budget,cap_fraction,peak_cap,method,selected_policy,solver_mode,checkpoint_candidates,selected_checkpoint_nodes,evaluated_subsets,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,selected_k,exact_over_checkpoint_candidates,official_ros_fully_reproduced,error
n14,anf_n14_27,14,line25,0.25,10,external_ros_lut_checkpoint_opt_line25,zero_checkpoint,exact_exhaustive,2,0,4,11312,20939,21445,10133,1,10,16,12592.564999999999,38.0,43.0,5,True,False,
n14,anf_n14_27,14,minline,0.0,10.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,exact_exhaustive,2,0,4,11312,20939,21445,10133,1,10,16,12592.564999999999,38.0,43.0,5,True,False,
n14,anf_n14_29,14,keep100,1.0,24,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,exact_exhaustive,4,23,16,632,1131,1147,515,23,24,38,747.595,23.0,26.0,4,True,False,
n14,anf_n14_29,14,line75,0.75,18,external_ros_lut_checkpoint_opt_line75,fanout_checkpoint,exact_exhaustive,4,4,16,2984,5413,5473,2489,5,13,20,3333.5049999999997,23.0,26.0,4,True,False,
n14,anf_n14_29,14,line50,0.5,12,external_ros_lut_checkpoint_opt_line50,checkpoint_subset,exact_exhaustive,4,3,16,3232,5909,5969,2737,4,12,19,3609.265,23.0,26.0,4,True,False,
n14,anf_n14_29,14,minline,0.0,10.0,external_ros_lut_checkpoint_opt_minline,checkpoint_subset,exact_exhaustive,4,1,16,5712,10125,10309,4597,2,10,17,6337.6050000000005,23.0,26.0,4,True,False,
n14,anf_n14_36,14,keep100,1.0,10,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,9,0,176,343,351,175,9,10,24,216.73499999999999,9.0,8.0,5,True,False,
n14,anf_n14_36,14,line75,0.75,7,external_ros_lut_checkpoint_opt_line75,zero_checkpoint,trivial_no_fanout,0,0,0,416,879,905,489,1,7,16,483.625,9.0,8.0,5,True,False,
n14,anf_n14_36,14,minline,0.0,7.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,416,879,905,489,1,7,16,483.625,9.0,8.0,5,True,False,
n15,anf_n15_0,15,keep100,1.0,21,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,19,0,552,1019,1041,489,19,21,35,655.265,19.0,18.0,5,True,False,
n15,anf_n15_0,15,line75,0.75,15,external_ros_lut_checkpoint_opt_line75,zero_checkpoint,trivial_no_fanout,0,0,0,2056,4007,4125,2069,1,9,17,2316.8450000000003,19.0,18.0,5,True,False,
n15,anf_n15_0,15,line50,0.5,10,external_ros_lut_checkpoint_opt_line50,zero_checkpoint,trivial_no_fanout,0,0,0,2056,4007,4125,2069,1,9,17,2316.8450000000003,19.0,18.0,5,True,False,
n15,anf_n15_0,15,minline,0.0,9.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,2056,4007,4125,2069,1,9,17,2316.8450000000003,19.0,18.0,5,True,False,
n15,anf_n15_3,15,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,64,111,115,51,3,4,19,78.675,3.0,2.0,5,True,False,
n15,anf_n15_3,15,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,64,111,115,51,3,4,19,78.675,3.0,2.0,5,True,False,
n15,anf_n15_15,15,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,64,115,119,55,3,4,19,78.93499999999999,3.0,2.0,4,True,False,
n15,anf_n15_15,15,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,64,115,119,55,3,4,19,78.93499999999999,3.0,2.0,4,True,False,
n15,anf_n15_28,15,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,80,139,143,63,3,4,19,96.335,3.0,2.0,5,True,False,
n15,anf_n15_28,15,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,80,139,143,63,3,4,19,96.335,3.0,2.0,5,True,False,
n16,anf_n16_13,16,keep100,1.0,6,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,5,0,96,173,179,83,5,6,22,118.435,5.0,4.0,5,True,False,
n16,anf_n16_13,16,minline,0.0,6.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,5,0,96,173,179,83,5,6,22,118.435,5.0,4.0,5,True,False,
traditional,parity_n3,3,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,0,7,7,7,1,1,5,2.455,1.0,0.0,3,True,False,
traditional,parity_n3,3,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,0,7,7,7,1,1,5,2.455,1.0,0.0,3,True,False,
traditional,parity_n3,3,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,0,7,7,7,1,1,5,2.455,1.0,0.0,3,True,False,
traditional,parity_n3,3,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,0,7,7,7,1,1,5,2.455,1.0,0.0,3,True,False,
traditional,parity_n3,3,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,0,7,7,7,1,1,5,2.455,1.0,0.0,3,True,False,
traditional,majority_n3,3,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,5,True,False,
traditional,majority_n3,3,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,5,True,False,
traditional,majority_n3,3,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,5,True,False,
traditional,majority_n3,3,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,5,True,False,
traditional,majority_n3,3,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,5,True,False,
traditional,threshold2_n3,3,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,4,True,False,
traditional,threshold2_n3,3,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,4,True,False,
traditional,threshold2_n3,3,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,4,True,False,
traditional,threshold2_n3,3,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,4,True,False,
traditional,threshold2_n3,3,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,24,43,43,19,1,1,5,28.555,1.0,0.0,4,True,False,
traditional,parity_n4,4,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,0,9,9,9,1,1,6,2.585,1.0,0.0,5,True,False,
traditional,parity_n4,4,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,0,9,9,9,1,1,6,2.585,1.0,0.0,5,True,False,
traditional,parity_n4,4,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,0,9,9,9,1,1,6,2.585,1.0,0.0,5,True,False,
traditional,parity_n4,4,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,0,9,9,9,1,1,6,2.585,1.0,0.0,5,True,False,
traditional,parity_n4,4,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,0,9,9,9,1,1,6,2.585,1.0,0.0,5,True,False,
traditional,majority_n4,4,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,88,143,143,55,1,3,6,102.41499999999999,1.0,0.0,5,True,False,
traditional,majority_n4,4,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,88,143,143,55,1,3,6,102.41499999999999,1.0,0.0,5,True,False,
traditional,threshold2_n4,4,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,64,117,123,59,3,4,8,79.11500000000001,3.0,2.0,3,True,False,
traditional,threshold2_n4,4,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,64,117,123,59,3,4,8,79.11500000000001,3.0,2.0,3,True,False,
traditional,parity_n5,5,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,0,11,11,11,1,1,7,2.715,1.0,0.0,5,True,False,
traditional,parity_n5,5,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,0,11,11,11,1,1,7,2.715,1.0,0.0,5,True,False,
traditional,parity_n5,5,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,0,11,11,11,1,1,7,2.715,1.0,0.0,5,True,False,
traditional,parity_n5,5,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,0,11,11,11,1,1,7,2.715,1.0,0.0,5,True,False,
traditional,parity_n5,5,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,0,11,11,11,1,1,7,2.715,1.0,0.0,5,True,False,
traditional,majority_n5,5,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,224,373,379,155,3,5,9,256.155,3.0,2.0,4,True,False,
traditional,majority_n5,5,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,224,373,379,155,3,5,9,256.155,3.0,2.0,4,True,False,
traditional,threshold2_n5,5,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,160,277,283,123,3,5,9,186.555,3.0,2.0,4,True,False,
traditional,threshold2_n5,5,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,160,277,283,123,3,5,9,186.555,3.0,2.0,4,True,False,
traditional,parity_n6,6,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,32,75,79,47,3,3,10,42.655,3.0,2.0,4,True,False,
traditional,parity_n6,6,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,32,75,79,47,3,3,10,42.655,3.0,2.0,4,True,False,
traditional,majority_n6,6,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,304,493,499,195,3,5,10,343.15500000000003,3.0,2.0,5,True,False,
traditional,majority_n6,6,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,304,493,499,195,3,5,10,343.15500000000003,3.0,2.0,5,True,False,
traditional,threshold3_n6,6,keep100,1.0,20,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,exact_exhaustive,2,19,4,400,723,745,345,19,20,26,483.545,19.0,20.0,3,True,False,
traditional,threshold3_n6,6,line75,0.75,15,external_ros_lut_checkpoint_opt_line75,fanout_checkpoint,exact_exhaustive,2,2,4,2256,4077,4221,1965,3,11,10,2524.045,19.0,20.0,3,True,False,
traditional,threshold3_n6,6,line50,0.5,10,external_ros_lut_checkpoint_opt_line50,checkpoint_subset,exact_exhaustive,2,1,4,2376,4287,4431,2055,2,10,9,2654.4950000000003,19.0,20.0,3,True,False,
traditional,threshold3_n6,6,minline,0.0,10.0,external_ros_lut_checkpoint_opt_minline,checkpoint_subset,exact_exhaustive,2,1,4,2376,4287,4431,2055,2,10,9,2654.4950000000003,19.0,20.0,3,True,False,
traditional,mux_2_4,6,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,2,0,64,115,119,55,2,3,9,76.93499999999999,2.0,1.0,5,True,False,
traditional,mux_2_4,6,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,2,0,64,115,119,55,2,3,9,76.93499999999999,2.0,1.0,5,True,False,
traditional,adder_carry_w2,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,40,67,67,27,1,2,6,47.955000000000005,1.0,0.0,4,True,False,
traditional,adder_carry_w2,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,40,67,67,27,1,2,6,47.955000000000005,1.0,0.0,4,True,False,
traditional,adder_carry_w3,6,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,96,163,167,71,3,5,10,115.73499999999999,3.0,2.0,4,True,False,
traditional,adder_carry_w3,6,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,96,163,167,71,3,5,10,115.73499999999999,3.0,2.0,4,True,False,
traditional,mul_w2_bit1,4,keep100,1.0,1,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,6,19.724999999999998,1.0,0.0,5,True,False,
traditional,mul_w2_bit1,4,line75,0.75,1,external_ros_lut_checkpoint_opt_line75,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,6,19.724999999999998,1.0,0.0,5,True,False,
traditional,mul_w2_bit1,4,line50,0.5,1,external_ros_lut_checkpoint_opt_line50,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,6,19.724999999999998,1.0,0.0,5,True,False,
traditional,mul_w2_bit1,4,line25,0.25,1,external_ros_lut_checkpoint_opt_line25,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,6,19.724999999999998,1.0,0.0,5,True,False,
traditional,mul_w2_bit1,4,minline,0.0,1.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,16,29,29,13,1,1,6,19.724999999999998,1.0,0.0,5,True,False,
traditional,mul_w3_bit2,6,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,64,115,121,57,3,4,10,78.98499999999999,3.0,2.0,5,True,False,
traditional,mul_w3_bit2,6,line75,0.75,3,external_ros_lut_checkpoint_opt_line75,zero_checkpoint,trivial_no_fanout,0,0,0,112,199,209,97,1,3,8,130.065,3.0,2.0,5,True,False,
traditional,mul_w3_bit2,6,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,112,199,209,97,1,3,8,130.065,3.0,2.0,5,True,False,
traditional,truth_n4_0,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,64,113,115,51,1,2,6,74.755,1.0,0.0,4,True,False,
traditional,truth_n4_0,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,64,113,115,51,1,2,6,74.755,1.0,0.0,4,True,False,
traditional,truth_n4_1,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,48,81,81,33,1,2,6,56.785,1.0,0.0,4,True,False,
traditional,truth_n4_1,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,48,81,81,33,1,2,6,56.785,1.0,0.0,4,True,False,
traditional,truth_n4_2,4,keep100,1.0,6,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,5,0,72,139,141,69,5,6,10,92.365,5.0,4.0,3,True,False,
traditional,truth_n4_2,4,minline,0.0,5.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,168,323,331,163,1,5,6,197.515,5.0,4.0,3,True,False,
traditional,truth_n4_3,4,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,56,111,115,59,3,4,8,70.755,3.0,2.0,3,True,False,
traditional,truth_n4_3,4,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,56,111,115,59,3,4,8,70.755,3.0,2.0,3,True,False,
traditional,truth_n4_4,4,keep100,1.0,5,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,4,0,72,139,143,71,4,5,9,90.41499999999999,4.0,3.0,3,True,False,
traditional,truth_n4_4,4,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,zero_checkpoint,trivial_no_fanout,0,0,0,112,227,239,127,1,4,6,133.935,4.0,3.0,3,True,False,
traditional,truth_n4_5,4,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,48,87,89,41,1,3,6,59.224999999999994,1.0,0.0,5,True,False,
traditional,truth_n4_5,4,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,48,87,89,41,1,3,6,59.224999999999994,1.0,0.0,5,True,False,
traditional,truth_n4_6,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,64,113,113,49,1,2,6,74.70499999999998,1.0,0.0,4,True,False,
traditional,truth_n4_6,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,64,113,113,49,1,2,6,74.70499999999998,1.0,0.0,4,True,False,
traditional,truth_n4_7,4,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,80,137,137,57,1,3,6,94.10499999999999,1.0,0.0,4,True,False,
traditional,truth_n4_7,4,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,80,137,137,57,1,3,6,94.10499999999999,1.0,0.0,4,True,False,
traditional,truth_n4_8,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,72,129,131,59,1,2,6,83.715,1.0,0.0,5,True,False,
traditional,truth_n4_8,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,72,129,131,59,1,2,6,83.715,1.0,0.0,5,True,False,
traditional,truth_n4_9,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,80,139,141,61,1,2,6,92.285,1.0,0.0,4,True,False,
traditional,truth_n4_9,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,80,139,141,61,1,2,6,92.285,1.0,0.0,4,True,False,
traditional,truth_n4_10,4,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,56,99,99,43,1,3,6,67.875,1.0,0.0,4,True,False,
traditional,truth_n4_10,4,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,56,99,99,43,1,3,6,67.875,1.0,0.0,4,True,False,
traditional,truth_n4_11,4,keep100,1.0,4,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,3,0,48,91,95,47,3,4,8,61.535,3.0,2.0,3,True,False,
traditional,truth_n4_11,4,minline,0.0,4.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,3,0,48,91,95,47,3,4,8,61.535,3.0,2.0,3,True,False,
traditional,truth_n4_12,4,keep100,1.0,2,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,80,141,143,63,1,2,6,92.41499999999999,1.0,0.0,5,True,False,
traditional,truth_n4_12,4,minline,0.0,2.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,80,141,143,63,1,2,6,92.41499999999999,1.0,0.0,5,True,False,
traditional,truth_n4_13,4,keep100,1.0,3,external_ros_lut_checkpoint_opt_keep100,keep_all_bennett,trivial_no_fanout,0,1,0,80,137,139,59,1,3,6,94.155,1.0,0.0,5,True,False,
traditional,truth_n4_13,4,minline,0.0,3.0,external_ros_lut_checkpoint_opt_minline,keep_all_bennett,trivial_no_fanout,0,1,0,80,137,139,59,1,3,6,94.155,1.0,0.0,5,True,False,
