check_type,item,status,file,line,matched_text,evidence,next_action
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,119,"intentionally limited to logical-layer Boolean-oracle synthesis. All reported resources are computed before hardware mapping, routing, native-gate scheduling, noise modeling, and magic-state-factory accounting. The weighted score in Eq.~\eqref{eq:score} is used only to rank verified candidates; T-count, CNOT count, depth, gate count, and peak ancilla are also reported separat",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,209,"{} for Hamiltonian-simulation circuit synthesis~\cite{machiya2026monteq}. The present work is different in scope: it is a logical-layer Boolean-oracle synthesizer, not a hardware-routing or transpilation method, not a Hamiltonian-simulation scheduler, not a gate-by-gate unitary generator, not a generic learned unitary compiler, and not an SSHR parallelotope search",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,410,"rk representativeness boundary auditable: the package contains broad logical-layer evidence, but no row is allowed to stand for exhaustive coverage of all Boolean functions or for hardware-mapped performance. \begin{table}[H] \centering \tiny \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{0.94} \caption{Benchmark-suite composition audit. Each row reports the ro",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,495,"cation, or non-dominance boundary. The labels are used in the results discussion so that SSHR is not treated as the whole story, ROS and XAG/LUT/AIG flows are not treated as full hardware-mapped reproductions, and AI ablations are not treated as competing oracle synthesizers. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,880,d{} obtains 177/0/0 matched score wins against it. This strengthens the external comparison while keeping the conclusion bounded to logical-layer resources and not to full ROS or hardware mapping. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{3pt} \caption{Caterpillar XAG API performance probe on the traditional $n\leq6$ slice. The probe uses ANF-XAG inp,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1266,"e-proxy-audit} reports a compact schedule-proxy view of the same high-dimensional frontier family. The metrics are computed from the emitted logical X/CNOT/\mct{} circuits before hardware mapping. Lower values are better. Relative to the cheap depth-2 screen, the frontier policy reduces score and T-depth proxy but increases explicit auxiliary lifetime area. Relative to",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1282,"roxy audit. Entries show win/loss/tie counts and mean relative change for the first method versus the second. The metrics are backend-relevant logical proxies only; they are not hardware mapping, routing, or native-gate scheduling results.} \label{tab:schedule-proxy-audit} \input{tables/schedule_proxy_audit} \end{table} Table~\ref{tab:learned-control-audit} separates pro",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1283,"es show win/loss/tie counts and mean relative change for the first method versus the second. The metrics are backend-relevant logical proxies only; they are not hardware mapping, routing, or native-gate scheduling results.} \label{tab:schedule-proxy-audit} \input{tables/schedule_proxy_audit} \end{table} Table~\ref{tab:learned-control-audit} separates promoted lea",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1283,"loss/tie counts and mean relative change for the first method versus the second. The metrics are backend-relevant logical proxies only; they are not hardware mapping, routing, or native-gate scheduling results.} \label{tab:schedule-proxy-audit} \input{tables/schedule_proxy_audit} \end{table} Table~\ref{tab:learned-control-audit} separates promoted learned-control components fro",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1317,"amework because learned policies rank, gate, or allocate bounded search budgets inside a verified algebraic synthesis workflow; it should not be described as a deep-learning-only, hardware-mapped, or globally optimal compiler. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{1.05} \caption{Neural/\mcts{} claim-calibration au",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1698,"lusion: the paper is a logical-layer resource study with layered baselines, bounded learned-control claims, symbolic large-instance verification, and reproducible packaging, not a hardware-mapped compiler or universal optimality result. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{1.05} \caption{Threats-to-validity and m",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1713,"{tab:threats-validity} \input{tables/threats_to_validity_audit} \end{table} Several limitations are deliberate. All results are logical-layer estimates; the paper does not model routing, hardware connectivity, native gate sets, noise, or magic-state factories. The ROS-style LUT result is a proxy rather than a full ROS reproduction with SAT garbage management; th",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1721,"The RevKit CLI baseline is a real exact-oracle reversible-synthesis probe, but CNOT/depth are derived from RevKit's Toffoli-control distribution and the experiment is still not a hardware mapping. High-dimensional symbolic checks validate emitted circuit semantics but do not replace full truth-table enumeration beyond the bridge slices. \section{Conclusion} We presented",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1774,"ttt{mcts-qoracle} Conda environment and the direct interpreter \path{/opt/anaconda3/envs/mcts-qoracle/bin/python}. External-tool rows are reported with manifest-level provenance; hardware mapping, routing, and magic-state-factory artifacts are intentionally absent because they are outside the logical-layer scope of the study. \bibliographystyle{plain} \bibliography{refere",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1774,"Conda environment and the direct interpreter \path{/opt/anaconda3/envs/mcts-qoracle/bin/python}. External-tool rows are reported with manifest-level provenance; hardware mapping, routing, and magic-state-factory artifacts are intentionally absent because they are outside the logical-layer scope of the study. \bibliographystyle{plain} \bibliography{references} \e",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1775,"ment and the direct interpreter \path{/opt/anaconda3/envs/mcts-qoracle/bin/python}. External-tool rows are reported with manifest-level provenance; hardware mapping, routing, and magic-state-factory artifacts are intentionally absent because they are outside the logical-layer scope of the study. \bibliographystyle{plain} \bibliography{references} \end{document}",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,69,"-bridge rows for $n=21$--$30$. The contribution is a verified logical-layer search method with strong T-count and weighted-score advantages, not a hardware-mapped, depth-only, or universal-dominance claim. \end{abstract} \section{Introduction} Given a Boolean function $f:\{0,1\}^n\rightarrow\{0,1\}$, a bit-flip oracle implements \begin{equation} |x\rangle |y\rangle \mapst","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1659,ained Boolean oracle synthesis method that improves T-count and weighted score over several fixed-representation and external-toolchain baselines. The claim is not that \method{} dominates every metric. SSHR remains a strong CNOT-oriented small-function baseline; CirKit AIG/MC remains a strong depth-oriented external probe; and RevKit CLI uses fewer auxiliary lines on most trad,"The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,318,claim boundary. They explain why the method scales as a bounded logical-layer search workflow while also making clear that the reported candidates are not certificates of global optimality. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{1.05} \caption{Search-budget contract for \method{}. Each row states the explic,Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1317,"ies rank, gate, or allocate bounded search budgets inside a verified algebraic synthesis workflow; it should not be described as a deep-learning-only, hardware-mapped, or globally optimal compiler. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{1.05} \caption{Neural/\mcts{} claim-calibration audit. Each row connec",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1489,"hrm{smoke}}=0.125$ sequence test, while five pass $\epsilon=0.05$. This closes part of the Rz evidence gap, but the bounded beam is not Ross--Selinger gridsynth, does not certify optimal T count, and is not used for the headline resource claims. Table~\ref{tab:rotation-backend-audit} makes the backend boundary machine-checkable: no command-line gridsynth-style to",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1539,e spectra inspected by the audit. Error is measured up to global phase for the emitted one-qubit sequence. These rows demonstrate coarse sequence availability only; they are not optimal rotation synthesis.} \label{tab:phase-rotation-sequence-smoke} \input{tables/phase_rotation_sequence_smoke_audit} \end{table} \begin{table}[H] \centering \scriptsize \setlength{\,Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1698,"esource study with layered baselines, bounded learned-control claims, symbolic large-instance verification, and reproducible packaging, not a hardware-mapped compiler or universal optimality result. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{2pt} \renewcommand{\arraystretch}{1.05} \caption{Threats-to-validity and mitigation audit. Each row names",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1743,"tions. The staged frontier analysis remains a validation-calibrated controller when depth-4 evaluation itself should be conditional. The next step is not to claim hardware-level optimality, but to strengthen the phase/Rz policy and complete fuller toolchain reproductions while keeping the claim at the logical synthesis layer. \section*{Data and Code Availability}",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,381,"l phase. Fixed-polarity \fprm{} search and bounded affine preconditioning are then added as phase-search actions. This branch is reported as a logical phase/Rz proxy; it is not a final Clifford+T compiler or mapped hardware circuit, although a separate coarse sequence-smoke audit checks representative single-qubit rotations. \section{Experimental Design} Experiments answ","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,832,"line peak-ancilla comparison is 186/0/6. The remaining fanout-heavy DAGs are left outside the exact subproblem, so this is still a ROS-style reproducible subproblem rather than a full ROS SAT reproduction. \begin{table}[H] \centering \small \caption{Exact checkpoint-subset optimizer for tractable ROS-style LUT DAGs. The optimizer exhaustively enumerates checkpoint","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,840,The optimizer exhaustively enumerates checkpoint subsets for DAGs with at most 12 multi-fanout candidates. It covers all traditional $n\leq6$ functions but does not reproduce the full ROS SAT garbage-management flow.} \label{tab:ros-checkpoint-optimizer} \input{tables/ros_lut_checkpoint_optimizer} \end{table} We also audit the local Caterpillar checkout because it,"The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,855,the result tables. This improves the reproducibility boundary for ROS-facing comparisons while preserving the central limitation: the current submission still does not reproduce full ROS SAT garbage management. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{3pt} \caption{Caterpillar ROS-family source probe. This is a local source/API/build and to,"The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,864,"abcolsep}{3pt} \caption{Caterpillar ROS-family source probe. This is a local source/API/build and toy compile smoke audit for a related open-source synthesis library; it is not a full ROS SAT garbage-management reproduction, and this source-only audit is not itself a standalone performance baseline.} \label{tab:caterpillar-ros-family} \input{tables/caterpillar_ros_","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,879,areto-\method{} obtains 177/0/0 matched score wins against it. This strengthens the external comparison while keeping the conclusion bounded to logical-layer resources and not to full ROS or hardware mapping. \begin{table}[H] \centering \scriptsize \setlength{\tabcolsep}{3pt} \caption{Caterpillar XAG API performance probe on the traditional $n\leq6$ slice. The pr,"The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,paper_latex/resource_nmcts_submission_v1.tex,1715,"cal-layer estimates; the paper does not model routing, hardware connectivity, native gate sets, noise, or magic-state factories. The ROS-style LUT result is a proxy rather than a full ROS reproduction with SAT garbage management; the line-aware LUT reselection only tests parameter sensitivity within the same proxy. The Caterpillar source-family audit and XAG API p","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,8,"ned Neural Monte Carlo Tree Search for Quantum Boolean Oracle Synthesis"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submiss",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,8,"arlo Tree Search for Quantum Boolean Oracle Synthesis"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submission_v1.te",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,8,"Search for Quantum Boolean Oracle Synthesis"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submission_v1.tex` - Main manuscript PDF",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,9,"ean Oracle Synthesis"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submission_v1.tex` - Main manuscript PDF: `../paper_late",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,9,"s"". The package is prepared for a logical-layer quantum Boolean oracle synthesis paper. It does not include hardware mapping, routing, native-gate scheduling, noise modeling, or magic-state-factory accounting. ## Primary Upload Artifacts - Main manuscript source: `../paper_latex/resource_nmcts_submission_v1.tex` - Main manuscript PDF: `../paper_latex/resource_nmcts_submiss",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/README.md,234,"direct/ESOP/SSHR/ABC/BDD/toolchain/RevKit probes. - High-dimensional symbolic and bridge-truth-table verification within the stated generated-instance scope. Not supported: - Hardware-mapped performance. - Universal CNOT, depth, ancilla, or line-count dominance. - A full ROS SAT garbage-management reproduction. - Official ROS source-discovery note: no official ROS imp",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,98,"nthesis` API performance probe over the same traditional `n<=6` functions; it verifies 531/531 ANF-XAG strategy rows and 177/177 best-of-Caterpillar rows, but is still not the full ROS LUT/SAT flow. - `../results/analysis_submission_metadata_pipeline_selftest.md`: synthetic, non-private self-test for the metadata validator and private-preview renderers. - `.","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,220,have zero unresolved items before upload. `../results/analysis_ros_reproduction_gap_audit.md` records the ROS-specific boundary between the verified LUT proxy and the unreproduced full ROS SAT-garbage-management flow. Supported: - Resource-constrained ANF/FPRM search for Boolean oracle synthesis. - Neural/MCTS/search-control assistance with guarded candidate selec,"The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,236,"uth-table verification within the stated generated-instance scope. Not supported: - Hardware-mapped performance. - Universal CNOT, depth, ancilla, or line-count dominance. - A full ROS SAT garbage-management reproduction. - Official ROS source-discovery note: no official ROS implementation repository or local ROS executable is included; the accessible public a","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/README.md,241,"e public artifacts are the ROS paper and the STG benchmark table. The Caterpillar API probe is an implementation-family performance counterpoint, not an official ROS run. - A final Clifford+T decomposition claim for RevKit `oracle_synth` Rz outputs. - Exhaustive truth-table benchmarking for all large-dimensional functions. ## Rebuild And Verification Run these comman","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,sis_payload_verifier_smoke_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat Rev,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,ier_smoke_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `ora,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,e_audit.md` - `results/analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/R,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,119,analysis_submission_package_verifier.md` ## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-boun,Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,121,"## 不能改坏的论文边界 - Only claim logical-layer quantum Boolean oracle synthesis。 - Do not claim hardware mapping、routing、native-gate scheduling、noise-aware compilation。 - Do not claim universal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T c","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/FINAL_SUBMISSION_HANDOFF_zh.md,124,"niversal dominance over SSHR、CirKit、RevKit，尤其不要把 weighted-score 胜利写成 CNOT/depth/ancilla 全胜。 - Treat RevKit `oracle_synth` as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T comparison。 - Frame AI as search control、ranking、pruning、guard 和 Pareto selection 的组合， not as deep learning alone explaining the full resource reduction。 ## 作者最终判断 如果目标期刊已经确定、","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,", Boolean-ring actions, Pareto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditio",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,"ions, Pareto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditional funct",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/cover_letter_template.md,7,"eto archives, frontier controllers, and baseline-preserving guards. The work is intentionally limited to logical resource estimation and does not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. The main contribution is a search-based oracle synthesis workflow with a broad comparison envelope. On 177 traditional functions with n <= 6, Pareto",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
