dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,abc_lut_nodes,abc_lut_max_fanin,abc_script,source_manifest,skipped,error,abc_binary
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_k3,3,928,1739,1787,859,47,48,62,1128.955,True,0.8120911121368408,47,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,14,anf_n14_14,anf_n14_14,14,14,external_ros_lut_k4,4,1776,3163,3209,1433,48,50,63,2064.9849999999997,True,0.11335611343383789,48,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,14,anf_n14_14,anf_n14_14,14,14,external_ros_lut_k5,5,2088,3599,3637,1549,32,35,47,2372.0049999999997,True,0.10211682319641113,32,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,15,anf_n14_15,anf_n14_15,14,2,external_ros_lut_k3,3,64,115,117,53,3,4,18,78.88499999999999,True,0.09571719169616699,3,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,15,anf_n14_15,anf_n14_15,14,2,external_ros_lut_k4,4,16,29,29,13,1,1,16,19.724999999999998,True,0.09485411643981934,1,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,15,anf_n14_15,anf_n14_15,14,2,external_ros_lut_k5,5,16,29,29,13,1,1,16,19.724999999999998,True,0.09459686279296875,1,4,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,16,anf_n14_16,anf_n14_16,14,30,external_ros_lut_k3,3,39856,71153,72157,32301,1735,1736,1750,47579.48500000001,True,0.13576602935791016,1735,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,16,anf_n14_16,anf_n14_16,14,30,external_ros_lut_k4,4,56608,96113,96891,40283,1083,1085,1098,64478.715,True,0.13724780082702637,1083,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,16,anf_n14_16,anf_n14_16,14,30,external_ros_lut_k5,5,74384,122975,123533,49149,733,736,748,83119.485,True,0.146071195602417,733,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,17,anf_n14_17,anf_n14_17,14,89,external_ros_lut_k3,3,107696,191371,194087,86391,4721,4722,4736,128570.055,True,0.20266199111938477,4721,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,17,anf_n14_17,anf_n14_17,14,89,external_ros_lut_k4,4,154568,261917,264025,109457,3066,3068,3081,176235.625,True,0.21259379386901855,3066,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,17,anf_n14_17,anf_n14_17,14,89,external_ros_lut_k5,5,209648,345231,346869,137221,2083,2086,2098,234204.485,True,0.24023818969726562,2083,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,18,anf_n14_18,anf_n14_18,14,790,external_ros_lut_k3,3,152912,272213,276091,123179,6765,6766,6780,182705.675,True,0.2711927890777588,6765,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,18,anf_n14_18,anf_n14_18,14,790,external_ros_lut_k4,4,217208,369583,372889,155681,4351,4353,4366,247847.465,True,0.27901792526245117,4351,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,18,anf_n14_18,anf_n14_18,14,790,external_ros_lut_k5,5,304568,502651,505143,200575,2944,2947,2959,340150.935,True,0.32399797439575195,2944,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,19,anf_n14_19,anf_n14_19,14,56,external_ros_lut_k3,3,92040,163381,165611,73571,4028,4029,4043,109853.115,True,0.18665099143981934,4028,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,19,anf_n14_19,anf_n14_19,14,56,external_ros_lut_k4,4,130208,220637,222455,92247,2616,2618,2631,148528.77500000002,True,0.19633793830871582,2616,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,19,anf_n14_19,anf_n14_19,14,56,external_ros_lut_k5,5,178856,294603,296027,117171,1796,1799,1811,199850.235,True,0.22258687019348145,1796,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,2,anf_n14_2,anf_n14_2,14,1010,external_ros_lut_k3,3,153544,273301,277189,123645,6746,6747,6761,183364.325,True,0.9147758483886719,6746,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,2,anf_n14_2,anf_n14_2,14,1010,external_ros_lut_k4,4,221592,376967,380285,158693,4337,4339,4352,252639.88499999998,True,0.9285340309143066,4337,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,2,anf_n14_2,anf_n14_2,14,1010,external_ros_lut_k5,5,311664,514531,516973,205309,2929,2932,2944,347916.925,True,0.5975239276885986,2929,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,20,anf_n14_20,anf_n14_20,14,1018,external_ros_lut_k3,3,151832,269999,273721,121889,6711,6712,6726,181380.665,True,0.4099440574645996,6711,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,20,anf_n14_20,anf_n14_20,14,1018,external_ros_lut_k4,4,220320,374541,377723,157403,4344,4346,4359,251233.515,True,0.4305453300476074,4344,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,20,anf_n14_20,anf_n14_20,14,1018,external_ros_lut_k5,5,307000,506695,509161,202161,2980,2983,2995,342892.82499999995,True,0.47945284843444824,2980,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,21,anf_n14_21,anf_n14_21,14,10,external_ros_lut_k3,3,1016,1905,1933,917,56,57,71,1244.365,True,0.09916186332702637,56,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,21,anf_n14_21,anf_n14_21,14,10,external_ros_lut_k4,4,744,1361,1379,635,34,35,49,895.475,True,0.09824109077453613,34,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,21,anf_n14_21,anf_n14_21,14,10,external_ros_lut_k5,5,896,1553,1571,675,15,17,30,1022.435,True,0.1018838882446289,15,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,22,anf_n14_22,anf_n14_22,14,321,external_ros_lut_k3,3,139640,248259,251787,112147,6196,6197,6211,166862.63499999998,True,0.47219395637512207,6196,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,22,anf_n14_22,anf_n14_22,14,321,external_ros_lut_k4,4,200888,341205,344207,143319,4051,4053,4066,229238.49500000002,True,0.4854850769042969,4051,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,22,anf_n14_22,anf_n14_22,14,321,external_ros_lut_k5,5,279592,460593,462767,183175,2757,2760,2772,312308.975,True,0.5259888172149658,2757,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,23,anf_n14_23,anf_n14_23,14,53,external_ros_lut_k3,3,68344,121915,123785,55441,2998,2999,3013,81629.785,True,0.32532572746276855,2998,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,23,anf_n14_23,anf_n14_23,14,53,external_ros_lut_k4,4,98528,167845,169291,70763,1937,1939,1952,112366.79500000001,True,0.4054100513458252,1937,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,23,anf_n14_23,anf_n14_23,14,53,external_ros_lut_k5,5,130976,216941,218045,87069,1302,1305,1317,146405.005,True,0.28971433639526367,1302,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,24,anf_n14_24,anf_n14_24,14,45,external_ros_lut_k3,3,53848,95025,96157,42309,2371,2372,2386,64258.445,True,0.22427892684936523,2371,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,24,anf_n14_24,anf_n14_24,14,45,external_ros_lut_k4,4,79696,134545,135573,55877,1608,1610,1623,90890.16500000001,True,0.2269887924194336,1608,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,24,anf_n14_24,anf_n14_24,14,45,external_ros_lut_k5,5,115400,189355,190111,74711,1158,1161,1173,128894.97499999999,True,0.25760316848754883,1158,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,25,anf_n14_25,anf_n14_25,14,6,external_ros_lut_k3,3,256,461,467,211,10,11,25,305.555,True,0.11504197120666504,10,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,25,anf_n14_25,anf_n14_25,14,6,external_ros_lut_k4,4,160,279,283,123,5,6,20,188.635,True,0.10753202438354492,5,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,25,anf_n14_25,anf_n14_25,14,6,external_ros_lut_k5,5,80,147,151,71,3,4,18,96.85499999999999,True,0.10729289054870605,3,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,26,anf_n14_26,anf_n14_26,14,6,external_ros_lut_k3,3,440,823,845,405,24,25,39,539.645,True,0.10228109359741211,24,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,26,anf_n14_26,anf_n14_26,14,6,external_ros_lut_k4,4,488,865,877,389,16,18,31,575.645,True,0.10546469688415527,16,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,26,anf_n14_26,anf_n14_26,14,6,external_ros_lut_k5,5,88,161,165,77,4,5,19,107.68499999999999,True,0.11100482940673828,4,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,27,anf_n14_27,anf_n14_27,14,10,external_ros_lut_k3,3,1936,3695,3795,1859,108,109,123,2377.3150000000005,True,0.14458107948303223,108,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,27,anf_n14_27,anf_n14_27,14,10,external_ros_lut_k4,4,2104,3745,3795,1691,63,65,78,2457.635,True,0.11651492118835449,63,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,27,anf_n14_27,anf_n14_27,14,10,external_ros_lut_k5,5,1392,2507,2541,1149,38,40,53,1621.885,True,0.15659594535827637,38,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,28,anf_n14_28,anf_n14_28,14,258,external_ros_lut_k3,3,132152,234857,238151,105999,5855,5856,5870,157890.535,True,0.46929502487182617,5855,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,28,anf_n14_28,anf_n14_28,14,258,external_ros_lut_k4,4,190816,323803,326527,135711,3799,3801,3814,217625.13499999998,True,0.48870015144348145,3799,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,28,anf_n14_28,anf_n14_28,14,258,external_ros_lut_k5,5,259552,428145,430179,170627,2577,2580,2592,289996.755,True,0.5179829597473145,2577,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,29,anf_n14_29,anf_n14_29,14,10,external_ros_lut_k3,3,1208,2247,2301,1093,58,59,73,1461.3250000000003,True,0.13516592979431152,58,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,29,anf_n14_29,anf_n14_29,14,10,external_ros_lut_k4,4,632,1131,1147,515,23,24,38,747.595,True,0.2870979309082031,23,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,29,anf_n14_29,anf_n14_29,14,10,external_ros_lut_k5,5,712,1243,1257,545,19,21,34,828.0250000000001,True,0.31719088554382324,19,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,3,anf_n14_3,anf_n14_3,14,168,external_ros_lut_k3,3,139376,247217,250731,111355,6154,6155,6169,166449.19499999998,True,0.5223140716552734,6154,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,3,anf_n14_3,anf_n14_3,14,168,external_ros_lut_k4,4,201672,341411,344227,142555,4003,4005,4018,229927.395,True,0.3774378299713135,4003,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,3,anf_n14_3,anf_n14_3,14,168,external_ros_lut_k5,5,278160,457819,460053,181893,2725,2728,2740,310648.485,True,0.403731107711792,2725,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,30,anf_n14_30,anf_n14_30,14,15,external_ros_lut_k3,3,14776,26567,26965,12189,626,627,641,17619.045,True,0.31420183181762695,626,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,30,anf_n14_30,anf_n14_30,14,15,external_ros_lut_k4,4,19664,33537,33781,14117,394,396,409,22445.364999999998,True,0.30316996574401855,394,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,30,anf_n14_30,anf_n14_30,14,15,external_ros_lut_k5,5,26968,44617,44799,17831,256,259,271,30120.975000000002,True,0.2927727699279785,256,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,31,anf_n14_31,anf_n14_31,14,627,external_ros_lut_k3,3,145816,259361,263105,117289,6504,6505,6519,174319.90500000003,True,0.28403615951538086,6504,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,31,anf_n14_31,anf_n14_31,14,627,external_ros_lut_k4,4,210648,358117,361355,150707,4233,4235,4248,240370.075,True,0.28583192825317383,4233,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,31,anf_n14_31,anf_n14_31,14,627,external_ros_lut_k5,5,300664,495861,498227,197563,2918,2921,2933,335789.47500000003,True,0.3451681137084961,2918,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,32,anf_n14_32,anf_n14_32,14,77,external_ros_lut_k3,3,71648,128113,130047,58399,3100,3101,3115,85509.21500000001,True,0.18941593170166016,3100,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,32,anf_n14_32,anf_n14_32,14,77,external_ros_lut_k4,4,103456,176259,177685,74229,2003,2005,2018,117923.92499999999,True,0.1913909912109375,2003,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,32,anf_n14_32,anf_n14_32,14,77,external_ros_lut_k5,5,142744,235863,236955,94211,1354,1357,1369,159388.955,True,0.21522212028503418,1354,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,33,anf_n14_33,anf_n14_33,14,53,external_ros_lut_k3,3,74928,133777,135815,60887,3258,3259,3273,89443.175,True,0.18518781661987305,3258,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,33,anf_n14_33,anf_n14_33,14,53,external_ros_lut_k4,4,107752,183479,185021,77269,2086,2088,2101,122815.16500000001,True,0.19151997566223145,2086,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,33,anf_n14_33,anf_n14_33,14,53,external_ros_lut_k5,5,144968,240065,241289,96321,1397,1400,1412,161953.145,True,0.20633602142333984,1397,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,34,anf_n14_34,anf_n14_34,14,95,external_ros_lut_k3,3,101096,180253,182939,81843,4426,4427,4441,120722.635,True,0.20630717277526855,4426,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,34,anf_n14_34,anf_n14_34,14,95,external_ros_lut_k4,4,142824,242895,245015,102191,2842,2844,2857,162924.935,True,0.22005200386047363,2842,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,34,anf_n14_34,anf_n14_34,14,95,external_ros_lut_k5,5,195416,322329,323877,128461,1875,1878,1890,218207.925,True,0.23850131034851074,1875,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,35,anf_n14_35,anf_n14_35,14,68,external_ros_lut_k3,3,113600,202233,205121,91521,4981,4982,4996,135645.34500000003,True,0.2264249324798584,4981,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,35,anf_n14_35,anf_n14_35,14,68,external_ros_lut_k4,4,161272,274081,276429,115157,3164,3166,3179,183865.245,True,0.23776888847351074,3164,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,35,anf_n14_35,anf_n14_35,14,68,external_ros_lut_k5,5,228888,377569,379311,150423,2167,2170,2182,255524.65500000003,True,0.2590751647949219,2167,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,36,anf_n14_36,anf_n14_36,14,8,external_ros_lut_k3,3,616,1171,1191,575,32,33,47,752.455,True,0.10748767852783203,32,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,36,anf_n14_36,anf_n14_36,14,8,external_ros_lut_k4,4,256,503,513,257,17,18,32,322.385,True,0.10202407836914062,17,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,36,anf_n14_36,anf_n14_36,14,8,external_ros_lut_k5,5,176,343,351,175,9,10,24,216.73499999999999,True,0.10748100280761719,9,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n14,37,anf_n14_37,anf_n14_37,14,199,external_ros_lut_k3,3,147672,262843,266523,118851,6569,6570,6584,176512.075,True,0.26959681510925293,6569,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
