dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,abc_lut_nodes,abc_lut_max_fanin,abc_script,source_manifest,skipped,error,abc_binary,candidate_ks
n14,20,anf_n14_20,anf_n14_20,14,1018,external_ros_lut_proxy,3,151832,269999,273721,121889,6711,6712,6726,181380.665,True,0.4099440574645996,6711,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,21,anf_n14_21,anf_n14_21,14,10,external_ros_lut_proxy,4,744,1361,1379,635,34,35,49,895.475,True,0.09824109077453613,34,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,22,anf_n14_22,anf_n14_22,14,321,external_ros_lut_proxy,3,139640,248259,251787,112147,6196,6197,6211,166862.63499999998,True,0.47219395637512207,6196,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,23,anf_n14_23,anf_n14_23,14,53,external_ros_lut_proxy,3,68344,121915,123785,55441,2998,2999,3013,81629.785,True,0.32532572746276855,2998,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,24,anf_n14_24,anf_n14_24,14,45,external_ros_lut_proxy,3,53848,95025,96157,42309,2371,2372,2386,64258.445,True,0.22427892684936523,2371,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,25,anf_n14_25,anf_n14_25,14,6,external_ros_lut_proxy,5,80,147,151,71,3,4,18,96.85499999999999,True,0.10729289054870605,3,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,26,anf_n14_26,anf_n14_26,14,6,external_ros_lut_proxy,5,88,161,165,77,4,5,19,107.68499999999999,True,0.11100482940673828,4,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,27,anf_n14_27,anf_n14_27,14,10,external_ros_lut_proxy,5,1392,2507,2541,1149,38,40,53,1621.885,True,0.15659594535827637,38,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,28,anf_n14_28,anf_n14_28,14,258,external_ros_lut_proxy,3,132152,234857,238151,105999,5855,5856,5870,157890.535,True,0.46929502487182617,5855,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,29,anf_n14_29,anf_n14_29,14,10,external_ros_lut_proxy,4,632,1131,1147,515,23,24,38,747.595,True,0.2870979309082031,23,4,strash; if -K 4,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,3,anf_n14_3,anf_n14_3,14,168,external_ros_lut_proxy,3,139376,247217,250731,111355,6154,6155,6169,166449.19499999998,True,0.5223140716552734,6154,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,30,anf_n14_30,anf_n14_30,14,15,external_ros_lut_proxy,3,14776,26567,26965,12189,626,627,641,17619.045,True,0.31420183181762695,626,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,31,anf_n14_31,anf_n14_31,14,627,external_ros_lut_proxy,3,145816,259361,263105,117289,6504,6505,6519,174319.90500000003,True,0.28403615951538086,6504,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,32,anf_n14_32,anf_n14_32,14,77,external_ros_lut_proxy,3,71648,128113,130047,58399,3100,3101,3115,85509.21500000001,True,0.18941593170166016,3100,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,33,anf_n14_33,anf_n14_33,14,53,external_ros_lut_proxy,3,74928,133777,135815,60887,3258,3259,3273,89443.175,True,0.18518781661987305,3258,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,34,anf_n14_34,anf_n14_34,14,95,external_ros_lut_proxy,3,101096,180253,182939,81843,4426,4427,4441,120722.635,True,0.20630717277526855,4426,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,35,anf_n14_35,anf_n14_35,14,68,external_ros_lut_proxy,3,113600,202233,205121,91521,4981,4982,4996,135645.34500000003,True,0.2264249324798584,4981,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,36,anf_n14_36,anf_n14_36,14,8,external_ros_lut_proxy,5,176,343,351,175,9,10,24,216.73499999999999,True,0.10748100280761719,9,5,strash; if -K 5,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,37,anf_n14_37,anf_n14_37,14,199,external_ros_lut_proxy,3,147672,262843,266523,118851,6569,6570,6584,176512.075,True,0.26959681510925293,6569,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,38,anf_n14_38,anf_n14_38,14,220,external_ros_lut_proxy,3,133944,238289,241641,107697,5984,5985,5999,160147.145,True,0.25311899185180664,5984,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,39,anf_n14_39,anf_n14_39,14,135,external_ros_lut_proxy,3,132712,235597,238973,106261,5912,5913,5927,158609.085,True,0.2557990550994873,5912,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,4,anf_n14_4,anf_n14_4,14,455,external_ros_lut_proxy,3,143696,255193,258771,115075,6382,6383,6397,171702.035,True,0.3138139247894287,6382,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,40,anf_n14_40,anf_n14_40,14,56,external_ros_lut_proxy,3,69168,123361,125247,56079,3078,3079,3093,82699.935,True,0.19645905494689941,3078,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,41,anf_n14_41,anf_n14_41,14,712,external_ros_lut_proxy,3,145448,258891,262617,117169,6476,6477,6491,173868.58500000002,True,0.2888922691345215,6476,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,42,anf_n14_42,anf_n14_42,14,46,external_ros_lut_proxy,3,53296,95319,96705,43409,2303,2304,2318,63601.424999999996,True,0.17287898063659668,2303,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,43,anf_n14_43,anf_n14_43,14,31,external_ros_lut_proxy,3,43376,77727,78917,35541,1842,1843,1857,51710.245,True,0.1515798568725586,1842,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,44,anf_n14_44,anf_n14_44,14,160,external_ros_lut_proxy,3,151344,268657,272301,120957,6689,6690,6704,180764.36500000002,True,0.2834310531616211,6689,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,45,anf_n14_45,anf_n14_45,14,77,external_ros_lut_proxy,3,60808,108615,110263,49455,2672,2673,2687,72647.095,True,0.17183375358581543,2672,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,46,anf_n14_46,anf_n14_46,14,300,external_ros_lut_proxy,3,127048,226313,229653,102605,5683,5684,5698,151939.365,True,0.2513618469238281,5683,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,47,anf_n14_47,anf_n14_47,14,46,external_ros_lut_proxy,3,81584,146633,149007,67423,3637,3638,3652,97634.655,True,0.20604896545410156,3637,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,48,anf_n14_48,anf_n14_48,14,691,external_ros_lut_proxy,3,146792,260699,264319,117527,6536,6537,6551,175434.01499999998,True,0.5344698429107666,6536,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,49,anf_n14_49,anf_n14_49,14,60,external_ros_lut_proxy,3,103240,184553,187337,84097,4545,4546,4560,123365.14499999999,True,0.5020279884338379,4545,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,5,anf_n14_5,anf_n14_5,14,506,external_ros_lut_proxy,3,148152,263711,267431,119279,6610,6611,6625,177126.695,True,0.267380952835083,6610,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,50,anf_n14_50,anf_n14_50,14,506,external_ros_lut_proxy,3,147688,263265,267061,119373,6567,6568,6582,176554.24500000002,True,0.7635478973388672,6567,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,51,anf_n14_51,anf_n14_51,14,201,external_ros_lut_proxy,3,139176,247645,251131,111955,6128,6129,6143,166226.31499999997,True,0.511817216873169,6128,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,52,anf_n14_52,anf_n14_52,14,241,external_ros_lut_proxy,3,137104,244469,248067,110963,6103,6104,6118,163921.39500000002,True,0.354877233505249,6103,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,53,anf_n14_53,anf_n14_53,14,174,external_ros_lut_proxy,3,132936,236133,239465,106529,5886,5887,5901,158812.58500000002,True,0.29515576362609863,5886,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,54,anf_n14_54,anf_n14_54,14,13,external_ros_lut_proxy,3,3640,6567,6685,3045,161,162,176,4357.405,True,0.1179189682006836,161,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,55,anf_n14_55,anf_n14_55,14,766,external_ros_lut_proxy,3,153432,272331,276161,122729,6802,6803,6817,183300.945,True,0.3072361946105957,6802,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,56,anf_n14_56,anf_n14_56,14,286,external_ros_lut_proxy,3,143480,254723,258133,114653,6416,6417,6431,171521.445,True,0.3004341125488281,6416,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,57,anf_n14_57,anf_n14_57,14,376,external_ros_lut_proxy,3,143520,254525,257909,114389,6338,6339,6353,171391.52500000002,True,0.29767704010009766,6338,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,58,anf_n14_58,anf_n14_58,14,303,external_ros_lut_proxy,3,141384,251467,255099,113715,6267,6268,6282,168942.31499999997,True,0.2943379878997803,6267,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,59,anf_n14_59,anf_n14_59,14,210,external_ros_lut_proxy,3,139544,248357,251871,112327,6208,6209,6223,166797.615,True,0.3019089698791504,6208,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,6,anf_n14_6,anf_n14_6,14,442,external_ros_lut_proxy,3,147592,262655,266385,118793,6585,6586,6600,176453.905,True,0.2594759464263916,6585,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,60,anf_n14_60,anf_n14_60,14,283,external_ros_lut_proxy,3,137184,243961,247493,110309,6164,6165,6179,164087.925,True,0.33550310134887695,6164,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,61,anf_n14_61,anf_n14_61,14,13,external_ros_lut_proxy,3,1848,3505,3607,1759,102,103,117,2265.895,True,0.15727615356445312,102,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,62,anf_n14_62,anf_n14_62,14,75,external_ros_lut_proxy,3,87176,155247,157489,70313,3830,3831,3845,104113.34500000002,True,0.24554705619812012,3830,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,63,anf_n14_63,anf_n14_63,14,389,external_ros_lut_proxy,3,148920,264949,268711,119791,6670,6671,6685,178088.535,True,0.3292558193206787,6670,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,7,anf_n14_7,anf_n14_7,14,394,external_ros_lut_proxy,3,150088,266785,270485,120397,6672,6673,6687,179366.645,True,0.2638370990753174,6672,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,8,anf_n14_8,anf_n14_8,14,17,external_ros_lut_proxy,3,3888,7165,7299,3411,191,192,206,4702.195,True,0.10442590713500977,191,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n14,9,anf_n14_9,anf_n14_9,14,226,external_ros_lut_proxy,3,148832,264999,268785,119953,6657,6658,6672,177979.26499999998,True,0.2679910659790039,6657,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,0,anf_n15_0,anf_n15_0,15,13,external_ros_lut_proxy,5,552,1019,1041,489,19,21,35,655.265,True,0.2213451862335205,19,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,1,anf_n15_1,anf_n15_1,15,27,external_ros_lut_proxy,3,12056,22047,22491,10435,590,591,606,14561.595,True,0.23728108406066895,590,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,10,anf_n15_10,anf_n15_10,15,1106,external_ros_lut_proxy,3,293296,521265,528713,235417,12917,12918,12933,350267.46499999997,True,0.6298182010650635,12917,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,11,anf_n15_11,anf_n15_11,15,543,external_ros_lut_proxy,3,290192,515535,522683,232491,12785,12786,12801,346550.555,True,0.5943491458892822,12785,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,12,anf_n15_12,anf_n15_12,15,214,external_ros_lut_proxy,3,261576,465545,472249,210673,11471,11472,11487,312332.26499999996,True,0.550116777420044,11471,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,13,anf_n15_13,anf_n15_13,15,106,external_ros_lut_proxy,3,239832,427533,433831,193999,10626,10627,10642,286634.775,True,0.5216400623321533,10626,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,14,anf_n15_14,anf_n15_14,15,1524,external_ros_lut_proxy,3,295536,523751,530929,235393,13048,13049,13064,352901.90499999997,True,0.6136813163757324,13048,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,15,anf_n15_15,anf_n15_15,15,4,external_ros_lut_proxy,4,64,115,119,55,3,4,19,78.93499999999999,True,0.20258212089538574,3,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,16,anf_n15_16,anf_n15_16,15,713,external_ros_lut_proxy,3,280744,499427,506551,225807,12435,12436,12451,335449.41500000004,True,0.5744690895080566,12435,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,17,anf_n15_17,anf_n15_17,15,221,external_ros_lut_proxy,3,271120,481825,488727,217607,11994,11995,12010,323889.97500000003,True,0.5620317459106445,11994,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,18,anf_n15_18,anf_n15_18,15,996,external_ros_lut_proxy,3,285488,506869,514097,228609,12630,12631,12646,341022.30500000005,True,0.6021728515625,12630,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,19,anf_n15_19,anf_n15_19,15,17,external_ros_lut_proxy,3,7488,13799,14041,6553,349,350,365,9016.105000000001,True,0.22537708282470703,349,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,2,anf_n15_2,anf_n15_2,15,133,external_ros_lut_proxy,3,253584,450229,456617,203033,11154,11155,11170,302782.745,True,0.5706660747528076,11154,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,20,anf_n15_20,anf_n15_20,15,118,external_ros_lut_proxy,3,267560,475277,481969,214409,11785,11786,11801,319516.705,True,0.5590641498565674,11785,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,21,anf_n15_21,anf_n15_21,15,74,external_ros_lut_proxy,3,244896,434651,440607,195711,10740,10741,10756,292330.25499999995,True,0.5309097766876221,10740,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,22,anf_n15_22,anf_n15_22,15,463,external_ros_lut_proxy,3,292376,519527,526939,234563,12878,12879,12894,349164.79500000004,True,0.6032037734985352,12878,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,23,anf_n15_23,anf_n15_23,15,449,external_ros_lut_proxy,3,290552,515473,522621,232069,12930,12931,12946,347192.925,True,0.6113719940185547,12930,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,24,anf_n15_24,anf_n15_24,15,161,external_ros_lut_proxy,3,270520,480515,487133,216613,11824,11825,11840,322863.725,True,0.5816788673400879,11824,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,25,anf_n15_25,anf_n15_25,15,1395,external_ros_lut_proxy,3,295048,524539,531929,236881,13059,13060,13075,352497.305,True,0.6443703174591064,13059,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,26,anf_n15_26,anf_n15_26,15,386,external_ros_lut_proxy,3,278768,495267,502459,223691,12405,12406,12421,333164.475,True,0.6020870208740234,12405,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,27,anf_n15_27,anf_n15_27,15,412,external_ros_lut_proxy,3,295904,525733,533231,237327,13118,13119,13134,353543.05500000005,True,0.655595064163208,13118,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,28,anf_n15_28,anf_n15_28,15,4,external_ros_lut_proxy,5,80,139,143,63,3,4,19,96.335,True,0.20314812660217285,3,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,29,anf_n15_29,anf_n15_29,15,76,external_ros_lut_proxy,3,144464,257717,261567,117103,6351,6352,6367,172571.215,True,0.3816189765930176,6351,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
n15,3,anf_n15_3,anf_n15_3,15,3,external_ros_lut_proxy,5,64,111,115,51,3,4,19,78.675,True,0.2149372100830078,3,4,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,"3,4,5"
