source_file,reference,resolved_path,status,candidate_paths,role
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_comparison_answer_scorecard.md,results/analysis_comparison_answer_scorecard.md,pass,results/analysis_comparison_answer_scorecard.md; submission_package/analysis_comparison_answer_scorecard.md; analysis_comparison_answer_scorecard.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_paired_statistical_evidence.md,results/analysis_paired_statistical_evidence.md,pass,results/analysis_paired_statistical_evidence.md; submission_package/analysis_paired_statistical_evidence.md; analysis_paired_statistical_evidence.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_sshr_reproduction_scope_audit.md,results/analysis_sshr_reproduction_scope_audit.md,pass,results/analysis_sshr_reproduction_scope_audit.md; submission_package/analysis_sshr_reproduction_scope_audit.md; analysis_sshr_reproduction_scope_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,external_traditional_resource_n6.tex,paper_latex/tables/external_traditional_resource_n6.tex,pass,paper_latex/tables/external_traditional_resource_n6.tex; external_traditional_resource_n6.tex,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_ros_reproduction_gap_audit.md,results/analysis_ros_reproduction_gap_audit.md,pass,results/analysis_ros_reproduction_gap_audit.md; submission_package/analysis_ros_reproduction_gap_audit.md; analysis_ros_reproduction_gap_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_comparison_target_validity_audit.md,results/analysis_comparison_target_validity_audit.md,pass,results/analysis_comparison_target_validity_audit.md; submission_package/analysis_comparison_target_validity_audit.md; analysis_comparison_target_validity_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_comparison_answer_scorecard.md,results/analysis_comparison_answer_scorecard.md,pass,results/analysis_comparison_answer_scorecard.md; submission_package/analysis_comparison_answer_scorecard.md; analysis_comparison_answer_scorecard.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,revkit_oracle_synth_traditional.tex,paper_latex/tables/revkit_oracle_synth_traditional.tex,pass,paper_latex/tables/revkit_oracle_synth_traditional.tex; revkit_oracle_synth_traditional.tex,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_phase_rotation_precision_audit.md,results/analysis_phase_rotation_precision_audit.md,pass,results/analysis_phase_rotation_precision_audit.md; submission_package/analysis_phase_rotation_precision_audit.md; analysis_phase_rotation_precision_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_neural_mcts_claim_calibration.md,results/analysis_neural_mcts_claim_calibration.md,pass,results/analysis_neural_mcts_claim_calibration.md; submission_package/analysis_neural_mcts_claim_calibration.md; analysis_neural_mcts_claim_calibration.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_stg_published_benchmark.md,results/analysis_stg_published_benchmark.md,pass,results/analysis_stg_published_benchmark.md; submission_package/analysis_stg_published_benchmark.md; analysis_stg_published_benchmark.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_search_control_baseline_audit.md,results/analysis_search_control_baseline_audit.md,pass,results/analysis_search_control_baseline_audit.md; submission_package/analysis_search_control_baseline_audit.md; analysis_search_control_baseline_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_learned_control_audit.md,results/analysis_learned_control_audit.md,pass,results/analysis_learned_control_audit.md; submission_package/analysis_learned_control_audit.md; analysis_learned_control_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_multimetric_pareto_tradeoff.md,results/analysis_multimetric_pareto_tradeoff.md,pass,results/analysis_multimetric_pareto_tradeoff.md; submission_package/analysis_multimetric_pareto_tradeoff.md; analysis_multimetric_pareto_tradeoff.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_schedule_proxy_audit.md,results/analysis_schedule_proxy_audit.md,pass,results/analysis_schedule_proxy_audit.md; submission_package/analysis_schedule_proxy_audit.md; analysis_schedule_proxy_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_scaling_resource_audit.md,results/analysis_scaling_resource_audit.md,pass,results/analysis_scaling_resource_audit.md; submission_package/analysis_scaling_resource_audit.md; analysis_scaling_resource_audit.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_screen_scale_ultra_scale64_stress.md,results/analysis_screen_scale_ultra_scale64_stress.md,pass,results/analysis_screen_scale_ultra_scale64_stress.md; submission_package/analysis_screen_scale_ultra_scale64_stress.md; analysis_screen_scale_ultra_scale64_stress.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,COMPARISON_HANDOFF_zh.md,submission_package/COMPARISON_HANDOFF_zh.md,pass,submission_package/COMPARISON_HANDOFF_zh.md; results/COMPARISON_HANDOFF_zh.md; COMPARISON_HANDOFF_zh.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,reviewer_concern_brief.md,submission_package/reviewer_concern_brief.md,pass,submission_package/reviewer_concern_brief.md; results/reviewer_concern_brief.md; reviewer_concern_brief.md,comparison evidence entrypoint
submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,analysis_comparison_answer_scorecard.md,results/analysis_comparison_answer_scorecard.md,pass,results/analysis_comparison_answer_scorecard.md; submission_package/analysis_comparison_answer_scorecard.md; analysis_comparison_answer_scorecard.md,comparison evidence entrypoint
submission_package/reviewer_concern_brief.md,COMPARISON_SIGNIFICANCE_MATRIX_zh.md,submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md,pass,submission_package/COMPARISON_SIGNIFICANCE_MATRIX_zh.md; results/COMPARISON_SIGNIFICANCE_MATRIX_zh.md; COMPARISON_SIGNIFICANCE_MATRIX_zh.md,comparison evidence entrypoint
