target,baseline,metric,items,wins,losses,ties,mean_relative
and_direct_anf,external_ros_lut_min_ancilla,peak_ancilla,309,309,0,0,-0.6700235357834954
and_direct_anf,external_ros_lut_min_ancilla,score,309,309,0,0,-0.7121653367517453
direct_anf,external_ros_lut_k4_line_cap,T,309,268,33,8,-0.45900415512979204
direct_anf,external_ros_lut_k4_line_cap,CNOT,309,309,0,0,-0.7420230019090288
direct_anf,external_ros_lut_k4_line_cap,depth,309,309,0,0,-0.7430375746102035
direct_anf,external_ros_lut_k4_line_cap,peak_ancilla,309,309,0,0,-0.807922672069888
direct_anf,external_ros_lut_k4_line_cap,score,309,284,25,0,-0.5110043105029818
direct_anf,external_ros_lut_line_w10,T,309,257,44,8,-0.42884732255419494
direct_anf,external_ros_lut_line_w10,CNOT,309,308,1,0,-0.7316258237706579
direct_anf,external_ros_lut_line_w10,depth,309,308,1,0,-0.7333515283068571
direct_anf,external_ros_lut_line_w10,peak_ancilla,309,309,0,0,-0.8089652277384741
direct_anf,external_ros_lut_line_w10,score,309,274,35,0,-0.4887763596110106
direct_anf,external_ros_lut_line_w25,T,309,268,35,6,-0.4459982577295601
direct_anf,external_ros_lut_line_w25,CNOT,309,308,1,0,-0.736620235202652
direct_anf,external_ros_lut_line_w25,depth,309,308,1,0,-0.7380001934538735
direct_anf,external_ros_lut_line_w25,peak_ancilla,309,309,0,0,-0.7994749386058495
direct_anf,external_ros_lut_line_w25,score,309,280,29,0,-0.5008394409785295
direct_anf,external_ros_lut_min_ancilla,T,309,293,9,7,-0.5011166528614432
direct_anf,external_ros_lut_min_ancilla,CNOT,309,309,0,0,-0.7555032749723718
direct_anf,external_ros_lut_min_ancilla,depth,309,309,0,0,-0.7558516294893887
direct_anf,external_ros_lut_min_ancilla,peak_ancilla,309,309,0,0,-0.7882393481311887
direct_anf,external_ros_lut_min_ancilla,score,309,301,8,0,-0.5448993639401294
external_ros_lut_k4_line_cap,external_ros_lut_proxy,T,309,0,163,146,0.2091102421309254
external_ros_lut_k4_line_cap,external_ros_lut_proxy,CNOT,309,4,159,146,0.16903855295559808
external_ros_lut_k4_line_cap,external_ros_lut_proxy,depth,309,5,156,148,0.1626135842139378
external_ros_lut_k4_line_cap,external_ros_lut_proxy,peak_ancilla,309,163,0,146,-0.1961706282722511
external_ros_lut_k4_line_cap,external_ros_lut_proxy,score,309,0,163,146,0.17149301592989571
external_ros_lut_line_w10,external_ros_lut_proxy,T,309,0,35,274,0.01811954433864754
external_ros_lut_line_w10,external_ros_lut_proxy,CNOT,309,4,31,274,0.008457834387553572
external_ros_lut_line_w10,external_ros_lut_proxy,depth,309,6,27,276,0.006378514609360675
external_ros_lut_line_w10,external_ros_lut_proxy,peak_ancilla,309,35,0,274,-0.055833179636543225
external_ros_lut_line_w10,external_ros_lut_proxy,score,309,0,35,274,0.010357182760723886
external_ros_lut_line_w25,external_ros_lut_proxy,T,309,0,64,245,0.04692057437699819
external_ros_lut_line_w25,external_ros_lut_proxy,CNOT,309,4,60,245,0.02870175594954347
external_ros_lut_line_w25,external_ros_lut_proxy,depth,309,6,56,247,0.025442549282097177
external_ros_lut_line_w25,external_ros_lut_proxy,peak_ancilla,309,64,0,245,-0.09993873588822809
external_ros_lut_line_w25,external_ros_lut_proxy,score,309,0,64,245,0.03251689906515099
external_ros_lut_min_ancilla,external_ros_lut_proxy,T,309,0,197,112,0.4769482079201294
external_ros_lut_min_ancilla,external_ros_lut_proxy,CNOT,309,3,194,112,0.3939507904904531
external_ros_lut_min_ancilla,external_ros_lut_proxy,depth,309,5,190,114,0.38186502513001425
external_ros_lut_min_ancilla,external_ros_lut_proxy,peak_ancilla,309,197,0,112,-0.32469731181615036
external_ros_lut_min_ancilla,external_ros_lut_proxy,score,309,0,197,112,0.4067048483821316
